Package,LibPath,Version,Priority,Built
acepack,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.4.1,NA,3.4.4
assertthat,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.2.0,NA,3.4.4
backports,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.1.2,NA,3.4.4
base64enc,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.1-3,NA,3.4.4
BH,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.66.0-1,NA,3.4.4
bindr,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.1.1,NA,3.4.4
bindrcpp,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.2.2,NA,3.4.4
bitops,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.0-6,NA,3.4.4
broom,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.5.0,NA,3.4.4
callr,C:/Users/mmcdonald/Documents/R/win-library/3.4,3.0.0,NA,3.4.4
caTools,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.17.1.1,NA,3.4.4
cellranger,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.1.0,NA,3.4.4
checkmate,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.8.5,NA,3.4.4
cli,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.0.1,NA,3.4.4
clipr,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.4.1,NA,3.4.4
clisymbols,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.2.0,NA,3.4.4
colorspace,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.3-2,NA,3.4.4
crayon,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.3.4,NA,3.4.4
curl,C:/Users/mmcdonald/Documents/R/win-library/3.4,3.2,NA,3.4.4
data.table,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.11.8,NA,3.4.4
DBI,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.0.0,NA,3.4.4
dbplyr,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.2.2,NA,3.4.4
desc,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.2.0,NA,3.4.4
devtools,C:/Users/mmcdonald/Documents/R/win-library/3.4,2.0.1,NA,3.4.4
digest,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.6.18,NA,3.4.4
doParallel,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.0.14,NA,3.4.4
dplyr,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.7.8,NA,3.4.4
evaluate,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.12,NA,3.4.4
fansi,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.4.0,NA,3.4.4
forcats,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.3.0,NA,3.4.4
foreach,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.4.4,NA,3.4.4
formatR,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.5,NA,3.4.4
Formula,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.2-3,NA,3.4.4
fredr,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.0.0,NA,3.4.4
fs,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.2.6,NA,3.4.4
gdata,C:/Users/mmcdonald/Documents/R/win-library/3.4,2.18.0,NA,3.4.4
ggfittext,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.6.0,NA,3.4.4
ggplot2,C:/Users/mmcdonald/Documents/R/win-library/3.4,3.1.0,NA,3.4.4
ggthemes,C:/Users/mmcdonald/Documents/R/win-library/3.4,4.0.1,NA,3.4.4
gh,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.0.1,NA,3.4.4
git2r,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.24.0,NA,3.4.4
glue,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.3.0,NA,3.4.4
gplots,C:/Users/mmcdonald/Documents/R/win-library/3.4,3.0.1,NA,3.4.4
gridExtra,C:/Users/mmcdonald/Documents/R/win-library/3.4,2.3,NA,3.4.4
gtable,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.2.0,NA,3.4.4
gtools,C:/Users/mmcdonald/Documents/R/win-library/3.4,3.8.1,NA,3.4.4
haven,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.1.2,NA,3.4.4
here,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.1,NA,3.4.4
hhi,C:/Users/mmcdonald/Documents/R/win-library/3.4,1.2.0,NA,3.4.4
highr,C:/Users/mmcdonald/Documents/R/win-library/3.4,0.7,NA,3.4.4
Hmisc,C:/Users/mmcdonald/Documents/R/win-library/3.4,4.1-1,NA,3.4.4
